"ID","Índice","Usuario","Owner","Tipo","Operación","Estado","Error","Código Error","Filas Afectadas","SQL","Timestamp"
"16","16","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.BANK MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:16.936Z"
"17","17","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.BARCODE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:17.316Z"
"18","18","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.BARCODE_CHARACTERISTIC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:17.710Z"
"19","19","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.BARCODE_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:18.094Z"
"20","20","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CARGA_DEPOSITOS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:18.458Z"
"21","21","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CARGA_ERRORES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:18.837Z"
"22","22","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CASHIER_LEVEL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:19.189Z"
"23","23","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CASHIER_LEVEL_AUTH_TRX MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:19.571Z"
"24","24","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CASH_INVENTORY MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:19.968Z"
"26","26","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHANGE_ATTRIBUTES_BY_CONDITION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:20.725Z"
"27","27","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHANGE_EFFECTIVE_DATE_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:21.125Z"
"28","28","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHANNEL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:21.508Z"
"29","29","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHARACTERISTIC_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:21.912Z"
"30","30","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHARACTERISTIC_SPEC_VALUE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:22.347Z"
"31","31","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CHECK_DIGIT MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:22.773Z"
"34","34","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.COLLECTOR_HOST_INFO MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:24.012Z"
"36","36","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONDITIONED_ACTIONS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:24.979Z"
"37","37","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONDITIONED_FORM MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:25.444Z"
"38","38","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONDITIONED_FORMATS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:25.961Z"
"39","39","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONDITIONED_MESSAGE_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:26.447Z"
"40","40","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONNECTION_STATUS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:26.948Z"
"41","41","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONNECTION_STATUS_LOG MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:27.447Z"
"42","42","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONTROL_ASSOCIATED_TRXS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:27.928Z"
"43","43","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONTROL_ASSOCIATED_TRX_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:28.369Z"
"44","44","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONTROL_CONDITIONED_ACTIONS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:28.796Z"
"45","45","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CONTROL_TRANSACTION_SEND MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:29.248Z"
"46","46","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.COUNTRIES_USE_MONEY MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:29.696Z"
"47","47","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.COUNTRY MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:30.082Z"
"48","48","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.CUSTOMER_TYPE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:30.523Z"
"49","49","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DATA_FRAME MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:30.995Z"
"50","50","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DATA_FRAME_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:31.366Z"
"51","51","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DATA_TYPE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:31.743Z"
"52","52","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DELEGATE_AUTHORIZATIONS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:32.135Z"
"53","53","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DENOMINATION_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:32.553Z"
"54","54","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DEPARTAMENT MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:32.926Z"
"55","55","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DETALLE_DEPOSITOS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:33.325Z"
"56","56","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.DEVICE_CONTROL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:33.737Z"
"57","57","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ENTITY_CONTROL_REQUIREMENT MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:34.144Z"
"58","58","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.EQUIVALENCIES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:34.579Z"
"59","59","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ERROR_MESSAGES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:34.979Z"
"60","60","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.EVENT_TYPE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:35.398Z"
"61","61","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FLOW_TEMPLATE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:35.808Z"
"62","62","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FLOW_TEMPLATE_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:36.203Z"
"63","63","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMAT MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:36.566Z"
"64","64","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMATS_PRINT_TRANSACTION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:36.966Z"
"65","65","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMAT_BY_CONDITION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:37.345Z"
"66","66","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMAT_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:37.773Z"
"67","67","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMULA MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:38.195Z"
"68","68","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.FORMULA_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:38.594Z"
"69","69","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GENERAL_PARAMETERS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:38.979Z"
"70","70","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GEOGRAPHIC_LEVEL1 MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:39.407Z"
"71","71","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GEOGRAPHIC_LEVEL2 MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:39.807Z"
"72","72","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GEOGRAPHIC_LEVEL3 MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:40.155Z"
"73","73","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GLOBAL_VALUES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:40.586Z"
"74","74","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GLOBAL_VALUES_BY_ORGANIZATION_TREE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:41.066Z"
"75","75","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.GROUP_SERVICE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:41.581Z"
"76","76","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.INDICATOR MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:42.051Z"
"77","77","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.ITERATION_AI_AGENT MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:42.473Z"
"78","78","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_ADDER MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:42.889Z"
"79","79","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_ALPHA MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:43.352Z"
"80","80","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_CASH MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:43.863Z"
"81","81","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_DATE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:44.466Z"
"82","82","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_EE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:45.111Z"
"83","83","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_ENDPOINTS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:45.610Z"
"84","84","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_ENDPOINTS_DETAIL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:46.126Z"
"85","85","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_IMAGES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:46.589Z"
"86","86","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_INBOX MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:47.073Z"
"87","87","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_INBOX_IMAGES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:47.556Z"
"88","88","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_NOTIFICATION_CONTROL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:48.121Z"
"89","89","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_SIGNATURE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:48.657Z"
"90","90","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_TRANSACTION_SEND MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:49.171Z"
"91","91","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JOURNAL_VALUE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:49.801Z"
"92","92","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JTELLER_JOURNAL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:50.328Z"
"93","93","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JTELLER_TOTALS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:51.257Z"
"94","94","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_AUTHORIZE_OPERATE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:51.784Z"
"95","95","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_CASHIER_CASH MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:52.196Z"
"96","96","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_CASHIER_TOTALS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:52.899Z"
"97","97","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_OPEN_AGENCIES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:53.383Z"
"98","98","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_OPEN_CASHIERS MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:53.859Z"
"99","99","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_PERFORMANCE MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:54.311Z"
"100","100","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.JT_SEQUENCES MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:54.742Z"
"101","101","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.LOGINS_CONTROL MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:55.221Z"
"102","102","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.MAX_LEVEL_CASHIER_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:55.644Z"
"103","103","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.MAX_TYPE_AGENCY_SPEC MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:56.068Z"
"104","104","jteller","JTELLERV7","ALTER","ALTER TABLE","EXITOSO","","","0","ALTER TABLE JTELLERV7.MEANS_NOTIFICATION MODIFY ID GENERATED BY DEFAULT ON NULL AS IDENTITY ( START WITH LIMIT VALUE)","2026-03-05T18:54:56.536Z"
